||||Sütunlar|||
Satırlar|||||||
||||Dönem 1|Dönem 2|Dönem 3|
||J58. (Yayımcılık Faaliyetleri)|2025|986.7|1091.5|1129.1|
||J59. (Sinema Filmi, Video Ve Televizyon Programları Yapımcılığı, Ses Kaydı Ve Müzik Yayımlama Faaliyetleri)|2025|962.6|951.0|952.2|
||J60. (Programcılık Ve Yayıncılık Faaliyetleri)|2025|916.0|1014.8|1003.9|
||J61. (Telekomünikasyon)|2025|1098.5|961.5|939.3|
||J62. (Bilgisayar Programlama, Danışmanlık Ve İlgili Faaliyetler)|2025|1269.6|1365.4|1537.3|
||J63. (Bilgi Hizmet Faaliyetleri)|2025|888.0|876.4|922.8|
||K. (Mali Ve Sigorta Faaliyetleri)|2025|1115.3|1094.4|1127.8|
||K64. (Finansal Hizmet Faaliyetleri (Sigorta Ve Emeklilik Fonları Hariç))|2025|1019.9|1045.7|1079.5|
||K65. (Sigorta, Reasürans Ve Emeklilik Fonları (Zorunlu Sosyal Güvenlik Hariç))|2025|1600.3|1297.5|1285.7|
||K66. (Finansal Hizmetler İle Sigorta Faaliyetleri İçin Yardımcı Faaliyetler)|2025|1368.9|1250.1|1308.6|
||L. (Gayrimenkul Faaliyetleri)|2025|1092.1|1184.7|1239.0|
||L68. (Gayrimenkul Faaliyetleri)|2025|1092.1|1184.7|1239.0|
||M. (Mesleki, Bilimsel Ve Teknik Faaliyetler)|2025|958.2|1007.6|1049.3|
||M69. (Hukuk Ve Muhasebe Faaliyetleri)|2025|789.1|846.7|881.4|
||M70. (İdare Merkezi Faaliyetleri; İdari Danışmanlık Faaliyetleri)|2025|1105.2|1143.8|1136.2|
||M71. (Mimarlık Ve Mühendislik Faaliyetleri; Teknik Test Ve Analiz Faaliyetleri)|2025|1006.4|1067.7|1139.8|
||M72. (Bilimsel Araştırma Ve Geliştirme Faaliyetleri)|2025|881.9|858.8|1043.5|
||M73. (Reklamcılık Ve Piyasa Araştırması)|2025|919.9|974.9|996.2|
||M74. (Diğer Mesleki, Bilimsel Ve Teknik Faaliyetler)|2025|890.4|946.9|995.9|
||M75. (Veterinerlik Hizmetleri)|2025|1055.2|1087.8|1167.8|
||M_STS. (Mesleki, Bilimsel Ve Teknik Faaliyetler (Kdii Yönetmeliğinde İstenilen))|2025|957.2|1006.5|1055.5|
||N. (İdari Ve Destek Hizmet Faaliyetleri)|2025|1076.9|1171.4|1239.1|
||N77. (Kiralama Ve Leasing Faaliyetleri)|2025|1115.2|1202.2|1267.9|
||N78. (İstihdam Faaliyetleri)|2025|1144.1|1281.3|1396.7|
||N79. (Seyahat Acentesi, Tur Operatörü Ve Diğer Rezervasyon Hizmetleri Ve İlgili Faaliyetler)|2025|1273.9|1425.3|1565.6|
||N80. (Güvenlik Ve Soruşturma Faaliyetleri)|2025|1005.6|1051.1|1071.2|
||N81. (Binalar İle İlgili Hizmetler Ve Çevre Düzenlemesi Faaliyetleri)|2025|938.1|1016.8|1048.8|
||N82. (Büro Yönetimi, Büro Destek Ve İş Destek Faaliyetleri)|2025|1089.8|1104.8|1100.2|
|||||||
