||||Sütunlar|||
Satırlar|||||||
||||Dönem 1|Dönem 2|Dönem 3|
||J60. (Programcılık Ve Yayıncılık Faaliyetleri)|2025|107.1|103.3|99.1|
||J61. (Telekomünikasyon)|2025|87.6|89.8|90.4|
||J62. (Bilgisayar Programlama, Danışmanlık Ve İlgili Faaliyetler)|2025|139.7|141.5|142.7|
||J63. (Bilgi Hizmet Faaliyetleri)|2025|94.5|93.8|93.2|
||K. (Mali Ve Sigorta Faaliyetleri)|2025|113.0|113.8|114.7|
||K64. (Finansal Hizmet Faaliyetleri (Sigorta Ve Emeklilik Fonları Hariç))|2025|106.4|107.0|107.6|
||K65. (Sigorta, Reasürans Ve Emeklilik Fonları (Zorunlu Sosyal Güvenlik Hariç))|2025|131.6|132.5|132.8|
||K66. (Finansal Hizmetler İle Sigorta Faaliyetleri İçin Yardımcı Faaliyetler)|2025|128.3|129.6|131.7|
||L. (Gayrimenkul Faaliyetleri)|2025|123.9|129.6|135.0|
||L68. (Gayrimenkul Faaliyetleri)|2025|123.9|129.6|135.0|
||M. (Mesleki, Bilimsel Ve Teknik Faaliyetler)|2025|109.2|111.7|114.3|
||M69. (Hukuk Ve Muhasebe Faaliyetleri)|2025|95.7|95.7|97.5|
||M70. (İdare Merkezi Faaliyetleri; İdari Danışmanlık Faaliyetleri)|2025|130.0|135.2|134.9|
||M71. (Mimarlık Ve Mühendislik Faaliyetleri; Teknik Test Ve Analiz Faaliyetleri)|2025|118.2|122.4|128.6|
||M72. (Bilimsel Araştırma Ve Geliştirme Faaliyetleri)|2025|110.7|112.7|116.4|
||M73. (Reklamcılık Ve Piyasa Araştırması)|2025|102.4|104.5|101.8|
||M74. (Diğer Mesleki, Bilimsel Ve Teknik Faaliyetler)|2025|95.5|97.2|99.2|
||M75. (Veterinerlik Hizmetleri)|2025|127.0|127.2|133.8|
||M_STS. (Mesleki, Bilimsel Ve Teknik Faaliyetler (Kdii Yönetmeliğinde İstenilen))|2025|109.0|111.6|114.2|
||N. (İdari Ve Destek Hizmet Faaliyetleri)|2025|116.5|119.6|122.3|
||N77. (Kiralama Ve Leasing Faaliyetleri)|2025|122.6|127.5|130.0|
||N78. (İstihdam Faaliyetleri)|2025|120.1|125.0|128.5|
||N79. (Seyahat Acentesi, Tur Operatörü Ve Diğer Rezervasyon Hizmetleri Ve İlgili Faaliyetler)|2025|129.7|141.2|146.1|
||N80. (Güvenlik Ve Soruşturma Faaliyetleri)|2025|119.0|118.0|120.1|
||N81. (Binalar İle İlgili Hizmetler Ve Çevre Düzenlemesi Faaliyetleri)|2025|104.4|106.5|108.7|
||N82. (Büro Yönetimi, Büro Destek Ve İş Destek Faaliyetleri)|2025|119.7|121.4|122.9|
|||||||
