|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|13.3. (Tekstil Terbiye Hizmetleri)|2025|2966.2|2995.78|3054.69|3098.41|3163.54|3220.89|3268.39|3329.23|3331.37|3333.51|3372.26|3373.47|
||2026|3417.21||||||||||||
|13.9. (Diğer Tekstil Ürünleri)|2025|2862.27|2920.81|2982.01|3058.25|3116.42|3158.16|3209.32|3276.07|3329.58|3330.79|3355.08|3391.04|
||2026|3485.69||||||||||||
|14. (Giyim Eşyası)|2025|1275.09|1326.07|1346.35|1374.91|1396.48|1421.55|1466.45|1518.21|1534.74|1589.62|1627.05|1616.41|
||2026|1643.84||||||||||||
|14.1. (Giyim Eşyası, Kürkten Yapılan Giysiler Hariç)|2025|1266.76|1317.81|1337.27|1365.27|1387.75|1412.92|1457.77|1509.09|1525.56|1582.48|1619.38|1607.84|
||2026|1633.47||||||||||||
|14.3. (Giyim Eşyası, Örgü (Triko) Veya Tığ İşi (Kroşe))|2025|1475.55|1522.39|1566.5|1610.76|1603.93|1625.01|1669.67|1732.52|1750.13|1741.3|1793.12|1810.24|
||2026|1857.32||||||||||||
|15. (Deri Ve İlgili Ürünler)|2025|1836.74|1956.25|2007.45|2051.66|2070.51|2109.01|2130.73|2137.38|2179.62|2190.52|2199.53|2205.26|
||2026|2258.8||||||||||||
|15.1. (Tabaklanmış Ve İşlenmiş Deri; Bavul, El Çantası, Saraçlık Ve Koşum Takımı; İşlenmiş Ve Boyanmış Kürk)|2025|1150.07|1180.07|1193.02|1223.53|1218.51|1247.83|1256.96|1266.28|1264.74|1293.73|1299.71|1293.72|
||2026|1341.24||||||||||||
|15.2. (Ayakkabı)|2025|2516.94|2751.84|2852.32|2908.44|2960.95|3005.42|3042.29|3043.23|3145.5|3125.26|3137.08|3160.13|
||2026|3211.68||||||||||||
