|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|C203. (Boya, Vernik Ve Benzeri Kaplayıcı Maddeler İle Matbaa Mürekkebi Ve Macun İmalatı)|2025|105.7|102.4|110.6|113.4|116.9|92.3|113.2|101.4|111.2|112.1|112.6|106.0|
|C2030. (Boya, Vernik Ve Benzeri Kaplayıcı Maddeler İle Matbaa Mürekkebi Ve Macun İmalatı)|2025|105.7|102.4|110.6|113.4|116.9|92.3|113.2|101.4|111.2|112.1|112.6|106.0|
|C204. (Sabun Ve Deterjan, Temizlik Ve Parlatıcı Maddeleri; Parfüm; Kozmetik Ve Tuvalet Malzemeleri İmalatı)|2025|113.1|114.1|111.3|113.9|123.8|99.1|117.2|112.8|119.9|119.3|122.7|124.0|
|C2041. (Sabun Ve Deterjan İle Temizlik Ve Parlatıcı Maddeler İmalatı)|2025|125.4|119.7|121.5|125.9|132.1|105.8|124.9|120.9|127.3|131.8|129.9|123.6|
|C2042. (Parfümlerin, Kozmetiklerin Ve Kişisel Bakım Ürünlerinin İmalatı)|2025|97.0|107.1|97.9|98.1|113.0|90.4|107.3|102.3|110.4|102.9|113.5|125.0|
|C205. (Diğer Kimyasal Ürünlerin İmalatı)|2025|110.3|103.6|111.8|104.7|115.9|102.9|121.8|113.4|119.7|122.7|119.7|133.8|
|C2051. (Patlayıcı Madde İmalatı)|2025|130.8|119.7|141.0|142.4|146.3|133.0|155.4|147.6|162.3|194.2|144.2|177.8|
|C2052. (Tutkal İmalatı)|2025|111.3|104.7|117.6|118.3|124.0|99.6|126.0|119.1|114.3|121.4|116.3|124.5|
|C2053. (Uçucu Yağların İmalatı)|2025|170.8|145.8|196.4|164.5|191.0|197.8|214.2|188.3|174.8|209.7|223.1|276.4|
|C2059. (Başka Yerde Sınıflandırılmamış Diğer Kimyasal Ürünlerin İmalatı)|2025|98.4|95.6|93.6|88.9|99.1|83.6|102.0|96.4|106.9|99.5|100.1|105.1|
|C206. (Suni Veya Sentetik Elyaf İmalatı)|2025|77.8|70.1|90.4|72.1|90.5|85.9|84.5|94.7|91.7|92.1|93.2|88.5|
|C2060. (Suni Veya Sentetik Elyaf İmalatı)|2025|77.8|70.1|90.4|72.1|90.5|85.9|84.5|94.7|91.7|92.1|93.2|88.5|
|C21. (Temel Eczacılık Ürünlerinin Ve Eczacılığa İlişkin Malzemelerin İmalatı)|2025|101.1|97.9|103.2|100.4|103.3|100.3|87.9|104.8|115.3|132.6|126.3|134.4|
|C212. (Eczacılığa İlişkin İlaçların İmalatı)|2025|101.1|97.9|103.2|100.4|103.3|100.3|87.9|104.8|115.3|132.6|126.3|134.4|
|C2120. (Eczacılığa İlişkin İlaçların İmalatı)|2025|101.1|97.9|103.2|100.4|103.3|100.3|87.9|104.8|115.3|132.6|126.3|134.4|
|C22. (Kauçuk Ve Plastik Ürünlerin İmalatı)|2025|100.9|96.6|100.6|101.0|113.2|93.8|106.0|98.6|106.9|104.5|104.5|114.3|
|C221. (Kauçuk Ürünlerin İmalatı)|2025|91.0|86.0|87.5|84.3|94.4|78.0|88.4|79.9|91.5|90.2|93.4|91.4|
|C2211. (İç Ve Dış Lastik İmalatı; Lastiğe Sırt Geçirilmesi Ve Yeniden İşlenmesi)|2025|74.6|69.9|68.4|66.1|77.0|61.0|72.2|66.0|73.4|73.4|80.6|77.4|
|C2219. (Diğer Kauçuk Ürünleri İmalatı)|2025|111.0|105.9|111.6|107.2|115.7|99.5|108.3|96.9|114.0|111.0|108.5|108.3|
|C222. (Plastik Ürünlerin İmalatı)|2025|104.9|101.0|106.1|108.2|121.3|100.6|113.5|106.7|113.4|110.5|109.0|124.4|
|C2221. (Plastik Tabaka, Levha, Tüp Ve Profil İmalatı)|2025|103.7|97.9|98.0|103.2|118.4|95.3|105.4|105.7|107.6|105.9|104.8|112.9|
|C2222. (Plastik Torba, Çanta, Poşet, Çuval, Kutu, Damacana, Şişe, Makara Vb. Paketleme Malzemelerinin İmalatı)|2025|91.3|84.5|92.1|94.3|103.4|83.0|98.4|92.5|97.7|92.7|90.2|99.0|
|C2223. (Plastik İnşaat Malzemesi İmalatı)|2025|120.5|124.2|137.4|135.5|156.9|143.4|165.6|155.5|154.2|152.6|158.6|237.8|
|C2229. (Diğer Plastik Ürünlerin İmalatı)|2025|116.9|116.4|124.2|122.5|134.0|114.5|126.1|108.3|126.6|123.6|120.1|133.6|
|C23. (Diğer Metalik Olmayan Mineral Ürünlerin İmalatı)|2025|92.4|80.5|95.7|97.2|118.8|95.8|115.6|111.7|114.7|115.7|114.0|122.2|
|C231. (Cam Ve Cam Ürünleri İmalatı)|2025|91.2|83.7|85.2|88.7|93.0|83.7|89.7|83.4|86.5|87.9|85.7|99.3|
|C2311. (Düz Cam İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2312. (Düz Camın Şekillendirilmesi Ve İşlenmesi)|2025|106.8|100.3|101.1|97.5|106.3|92.6|106.2|94.4|109.9|113.2|115.3|134.5|
|C2313. (Çukur Cam İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2314. (Cam Elyafı İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2319. (Diğer Camların İmalatı Ve İşlenmesi (Teknik Amaçlı Cam Eşyalar Dahil))|2025|93.9|97.9|99.0|115.2|110.2|102.9|104.5|95.2|109.1|107.7|111.6|136.5|
|C232. (Ateşe Dayanıklı (Refrakter) Ürünlerin İmalatı)|2025|82.9|75.3|83.3|82.4|87.3|75.3|88.8|85.3|87.9|88.9|88.2|110.3|
|C2320. (Ateşe Dayanıklı (Refrakter) Ürünlerin İmalatı)|2025|82.9|75.3|83.3|82.4|87.3|75.3|88.8|85.3|87.9|88.9|88.2|110.3|
|C233. (Kilden İnşaat Malzemeleri İmalatı)|2025|90.9|79.3|90.9|93.8|105.0|87.7|101.7|98.5|100.9|104.4|102.9|113.5|
|C2331. (Seramik Karo Ve Kaldırım Taşları İmalatı)|2025|91.3|81.8|92.0|91.2|102.2|87.8|99.2|96.0|99.8|103.4|103.3|111.8|
|C2332. (Fırınlanmış Kilden Tuğla, Karo Ve İnşaat Malzemeleri İmalatı)|2025|83.1|64.0|80.1|98.1|108.9|81.7|104.9|101.7|98.2|101.3|94.6|112.5|
|C234. (Diğer Porselen Ve Seramik Ürünlerin İmalatı)|2025|77.4|80.6|84.3|86.5|97.7|94.9|101.0|98.4|107.4|95.6|91.4|107.1|
|C2341. (Seramik Ev Ve Süs Eşyaları İmalatı)|2025|96.0|105.3|113.6|117.4|136.7|140.3|145.7|157.2|164.9|142.3|119.1|166.4|
|C2342. (Seramik Sıhhi Ürünlerin İmalatı)|2025|64.5|61.7|64.7|65.6|73.6|68.4|73.7|60.8|71.5|66.2|69.3|69.7|
|C2343. (Seramik Yalıtkanların (İzolatörlerin) Ve Yalıtkan Bağlantı Parçalarının İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2349. (Başka Yerde Sınıflandırılmamış Diğer Seramik Ürünlerin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C235. (Çimento, Kireç Ve Alçı İmalatı)|2025|90.8|73.5|101.3|103.2|138.5|106.8|128.6|127.5|125.6|128.1|124.8|109.9|
|C2351. (Çimento İmalatı)|2025|92.3|74.6|104.0|104.9|142.6|109.7|131.6|130.9|128.9|131.8|129.1|112.6|
|C2352. (Kireç Ve Alçı İmalatı)|2025|76.8|62.9|73.5|85.9|97.0|76.8|98.3|92.8|92.2|90.6|81.8|82.7|
|C236. (Beton, Çimento Ve Alçıdan Yapılmış Eşyaların İmalatı)|2025|92.6|76.9|96.5|94.7|124.1|92.3|124.6|120.1|125.4|128.3|124.8|141.0|
|C2361. (İnşaat Amaçlı Beton Ürünlerin İmalatı)|2025|66.1|70.4|74.8|74.4|91.8|86.4|103.6|98.8|108.6|113.3|108.8|164.7|
|C2362. (İnşaat Amaçlı Alçı Ürünlerin İmalatı)|2025|114.3|100.5|122.0|138.4|149.6|107.4|133.5|126.8|137.8|134.9|133.0|145.4|
|C2363. (Hazır Beton İmalatı)|2025|103.9|78.3|106.7|102.2|140.8|95.6|137.6|132.4|134.3|138.7|137.1|136.8|
|C2364. (Toz Harç İmalatı)|2025|93.2|79.7|99.7|101.3|128.6|99.9|117.8|124.7|131.0|121.1|119.7|126.9|
|C2365. (Lif Ve Çimento Karışımlı Ürünlerin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2369. (Beton, Alçı Ve Çimentodan Yapılmış Diğer Ürünlerin İmalatı)|2025|73.4|63.6|57.3|55.9|59.9|59.0|66.7|63.5|80.2|83.5|55.3|77.9|
|C237. (Taş Ve Mermerin Kesilmesi, Şekil Verilmesi Ve Bitirilmesi)|2025|94.0|89.5|97.9|98.1|119.5|99.0|120.3|115.6|116.1|119.9|118.6|162.8|
|C2370. (Taş Ve Mermerin Kesilmesi, Şekil Verilmesi Ve Bitirilmesi)|2025|94.0|89.5|97.9|98.1|119.5|99.0|120.3|115.6|116.1|119.9|118.6|162.8|
|C239. (Aşındırıcı Ürünlerin Ve Başka Yerde Sınıflandırılmamış Metalik Olmayan Mineral Ürünlerin İmalatı)|2025|104.6|97.2|101.4|108.0|114.7|92.9|116.9|108.9|123.6|111.8|132.4|137.5|
|C2391. (Aşındırıcı Ürünlerin İmalatı)|2025|121.8|109.9|117.0|106.1|118.6|97.3|114.6|104.1|110.1|106.6|96.9|114.9|
|C2399. (Başka Yerde Sınıflandırılmamış Metalik Olmayan Diğer Mineral Ürünlerin İmalatı)|2025|101.2|94.7|98.3|108.8|114.3|92.3|117.8|110.4|127.0|113.4|140.7|142.9|
|C24. (Ana Metal Sanayii)|2025|96.8|91.0|95.0|95.3|101.3|88.7|102.4|99.6|102.2|102.9|103.1|105.2|
|C241. (Ana Demir Ve Çelik Ürünleri İle Ferro Alaşımların İmalatı)|2025|97.0|88.9|93.4|95.8|98.1|89.3|103.6|103.2|102.7|103.9|104.5|107.5|
|C2410. (Ana Demir Ve Çelik Ürünleri İle Ferro Alaşımların İmalatı)|2025|97.0|88.9|93.4|95.8|98.1|89.3|103.6|103.2|102.7|103.9|104.5|107.5|
|C242. (Çelikten Tüpler, Borular, İçi Boş Profiller Ve Benzeri Bağlantı Parçalarının İmalatı)|2025|119.1|113.9|112.8|116.5|122.2|109.9|133.9|126.9|131.3|133.1|132.3|151.1|
|C2420. (Çelikten Tüpler, Borular, İçi Boş Profiller Ve Benzeri Bağlantı Parçalarının İmalatı)|2025|119.1|113.9|112.8|116.5|122.2|109.9|133.9|126.9|131.3|133.1|132.3|151.1|
|C243. (Çeliğin İlk İşlenmesinde Elde Edilen Diğer Ürünlerin İmalatı)|2025|115.6|100.7|106.6|105.7|120.4|98.1|113.9|105.6|115.9|123.9|121.4|123.0|
|C2431. (Barların Soğuk Çekilmesi)|2025|153.2|114.4|133.4|113.3|138.8|107.3|119.7|105.2|118.2|139.9|140.9|124.4|
|C2432. (Dar Şeritlerin Soğuk Haddelenmesi)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2433. (Soğuk Şekillendirme Veya Katlama)|2025|112.4|109.1|113.3|122.8|141.0|125.3|142.1|139.4|149.2|147.0|144.4|164.2|
|C2434. (Tellerin Soğuk Çekilmesi)|2025|79.1|76.5|73.9|81.3|86.4|68.3|84.3|78.1|84.5|87.6|82.4|86.4|
|C244. (Değerli Ana Metaller Ve Diğer Demir Dışı Metallerin İmalatı)|2025|93.0|91.0|96.5|92.9|103.3|86.8|97.1|93.4|97.0|95.8|96.8|93.6|
|C2441. (Değerli Metal Üretimi)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2442. (Alüminyum Üretimi)|2025|88.9|83.2|91.4|87.1|96.4|83.1|95.1|91.4|94.9|93.6|93.3|96.7|
|C2443. (Kurşun, Çinko Ve Kalay Üretimi)|2025|57.1|57.3|55.4|46.3|56.2|55.6|53.1|54.7|53.2|55.6|63.7|52.2|
|C2444. (Bakır Üretimi)|2025|99.3|102.3|104.4|101.9|113.9|92.5|100.8|97.3|100.7|99.4|101.7|90.5|
|C2445. (Demir Dışı Diğer Metallerin Üretimi)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C245. (Metal Döküm Sanayii)|2025|80.0|78.1|80.2|77.6|86.1|69.2|79.5|73.4|84.0|83.1|80.6|77.6|
|C2451. (Demir Döküm)|2025|78.1|75.7|78.9|73.8|85.5|68.3|78.7|69.2|83.3|79.1|79.3|73.8|
|C2452. (Çelik Dökümü)|2025|70.3|67.9|68.5|70.1|71.5|61.4|67.5|69.2|73.7|75.8|71.0|74.9|
|C2453. (Hafif Metallerin Dökümü)|2025|97.7|99.0|99.5|96.3|108.4|81.5|96.2|89.1|99.6|101.2|95.5|89.7|
|C2454. (Diğer Demir Dışı Metallerin Dökümü)|2025|89.0|83.0|86.6|90.1|90.7|74.9|95.8|80.2|86.9|100.7|91.8|83.0|
|C25. (Fabrikasyon Metal Ürünleri İmalatı (Makine Ve Teçhizat Hariç))|2025|104.2|108.3|116.1|109.9|128.6|110.5|129.8|125.2|136.1|136.6|134.5|180.6|
|C251. (Metal Yapı Malzemeleri İmalatı)|2025|94.9|97.3|106.3|102.4|122.0|100.8|116.3|112.4|132.8|122.4|126.7|181.9|
|C2511. (Metal Yapı Ve Yapı Parçaları İmalatı)|2025|90.0|92.1|98.3|95.1|113.3|93.5|107.9|104.4|127.5|114.2|117.8|160.8|
|C2512. (Metalden Kapı Ve Pencere İmalatı)|2025|110.3|113.8|131.5|125.5|149.6|124.1|143.0|137.8|149.7|148.3|154.7|247.8|
|C252. (Metal Tank, Rezervuar Ve Muhafaza Kapları İmalatı)|2025|70.3|71.8|74.6|76.1|75.6|63.6|67.6|71.5|88.5|97.7|88.9|94.0|
|C2521. (Merkezi Isıtma Radyatörleri (Elektrikli Radyatörler Hariç) Ve Sıcak Su Kazanları (Boylerleri) İmalatı)|2025|66.7|67.4|68.3|69.1|65.6|51.8|55.2|61.6|83.0|93.2|81.8|78.3|
|C2529. (Metalden Diğer Tank, Rezervuar Ve Konteynerler İmalatı)|2025|82.6|86.9|95.4|99.3|108.3|101.9|108.2|103.9|107.4|113.1|112.8|144.9|
|C253. (Buhar Jeneratörü İmalatı, Merkezi Isıtma Sıcak Su Kazanları (Boylerleri) Hariç)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2530. (Buhar Jeneratörü İmalatı, Merkezi Isıtma Sıcak Su Kazanları (Boylerleri) Hariç)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C254. (Silah Ve Mühimmat (Cephane) İmalatı)|2025|119.6|202.6|239.1|137.4|254.2|243.2|341.1|319.4|357.6|386.0|378.4|691.9|
|C2540. (Silah Ve Mühimmat (Cephane) İmalatı)|2025|119.6|202.6|239.1|137.4|254.2|243.2|341.1|319.4|357.6|386.0|378.4|691.9|
|C255. (Metallerin Dövülmesi, Preslenmesi, Baskılanması Ve Yuvarlanması; Toz Metalürjisi)|2025|103.7|105.6|109.6|109.9|123.2|107.3|120.6|105.4|118.2|118.0|118.0|121.2|
|C2550. (Metallerin Dövülmesi, Preslenmesi, Baskılanması Ve Yuvarlanması; Toz Metalürjisi)|2025|103.7|105.6|109.6|109.9|123.2|107.3|120.6|105.4|118.2|118.0|118.0|121.2|
|C256. (Metallerin İşlenmesi Ve Kaplanması; Makinede İşleme)|2025|132.8|130.0|137.6|139.3|150.6|133.9|142.0|142.9|144.7|142.1|141.3|173.5|
|C2561. (Metallerin İşlenmesi Ve Kaplanması)|2025|114.6|114.9|114.5|121.8|134.2|106.5|109.4|134.5|119.8|124.3|128.3|145.8|
|C2562. (Metallerin Makinede İşlenmesi Ve Şekil Verilmesi)|2025|155.5|149.9|164.5|161.8|172.9|164.0|176.9|158.3|173.6|165.1|160.3|206.2|
|C257. (Çatal-Bıçak Takımı Ve Diğer Kesici Aletler İle El Aletleri Ve Genel Hırdavat Malzemeleri İmalatı)|2025|119.6|118.3|123.8|122.3|132.8|107.7|124.1|130.9|117.1|121.3|121.2|155.9|
|C2571. (Çatal-Bıçak Takımları Ve Diğer Kesici Aletlerin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2572. (Kilit Ve Menteşe İmalatı)|2025|76.1|78.4|80.7|80.6|89.7|66.2|85.6|74.2|80.3|83.7|81.5|94.2|
|C2573. (El Aletleri, Takım Tezgahı Uçları, Testere Ağızları Vb. İmalatı)|2025|150.6|147.2|155.3|151.6|161.5|136.9|150.6|171.3|141.9|146.0|148.3|200.0|
|C259. (Diğer Fabrikasyon Metal Ürünlerin İmalatı)|2025|89.2|81.6|86.1|90.6|98.6|80.8|98.2|90.8|98.0|96.6|91.9|104.3|
|C2591. (Çelik Varil Ve Benzer Muhafazaların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2592. (Metalden Hafif Paketleme Malzemeleri İmalatı)|2025|106.0|96.6|102.4|111.0|122.5|101.2|126.6|130.7|126.8|116.3|108.4|108.6|
|C2593. (Tel Ürünleri, Zincir Ve Yayların İmalatı)|2025|84.1|79.1|86.5|92.4|100.3|84.0|97.8|86.7|97.8|94.4|90.4|104.2|
|C2594. (Bağlantı Malzemelerinin Ve Vida Makinesi Ürünlerinin İmalatı)|2025|101.6|84.0|86.5|92.6|98.6|78.7|93.3|90.5|101.9|99.3|89.9|95.0|
|C2599. (Başka Yerde Sınıflandırılmamış Diğer Fabrikasyon Metal Ürünlerin İmalatı)|2025|76.0|70.7|74.0|75.0|82.3|66.6|80.4|72.3|78.3|82.4|79.9|100.1|
|C26. (Bilgisayarların, Elektronik Ve Optik Ürünlerin İmalatı)|2025|98.2|112.0|134.6|106.2|148.5|152.7|150.8|114.1|173.4|146.4|150.9|353.6|
|C261. (Elektronik Bileşenlerin Ve Devre Kartlarının İmalatı)|2025|155.9|187.1|149.8|126.5|138.6|199.9|147.3|148.6|166.2|150.5|162.6|205.5|
|C2611. (Elektronik Bileşenlerin İmalatı)|2025|239.9|307.2|206.1|163.4|198.2|287.7|208.5|207.9|254.0|214.0|226.3|295.0|
|C2612. (Yüklü Elektronik Kart İmalatı)|2025|60.1|60.6|72.5|67.7|62.5|89.1|67.8|69.8|65.2|68.6|77.2|92.0|
|C262. (Bilgisayar Ve Bilgisayar Çevre Birimleri İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2620. (Bilgisayar Ve Bilgisayar Çevre Birimleri İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C263. (İletişim Ekipmanlarının İmalatı)|2025|123.5|126.5|168.0|142.7|158.0|143.3|204.4|174.4|244.6|218.6|207.6|332.0|
|C2630. (İletişim Ekipmanlarının İmalatı)|2025|123.5|126.5|168.0|142.7|158.0|143.3|204.4|174.4|244.6|218.6|207.6|332.0|
|C264. (Tüketici Elektroniği Ürünlerinin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2640. (Tüketici Elektroniği Ürünlerinin İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C265. (Ölçme, Test Ve Seyrüsefer Amaçlı Alet Ve Cihazlar İle Saat İmalatı)|2025|83.9|94.9|137.7|102.1|156.5|158.3|161.9|102.3|185.7|149.5|156.9|462.7|
|C2651. (Ölçme, Test Ve Seyrüsefer Amaçlı Alet Ve Cihazların İmalatı)|2025|83.6|94.1|137.6|102.0|156.7|158.5|162.1|102.3|185.8|149.6|156.8|464.1|
|C2652. (Kol Saatlerinin, Masa Ve Duvar Saatlerinin Ve Benzerlerinin İmalatı)|2025|128.2|210.3|137.3|98.8|100.9|98.5|91.1|86.4|139.6|95.0|146.4|147.1|
|C266. (Işınlama, Elektro Medikal Ve Elektro Terapi İle İlgili Cihazların İmalatı)|2025|192.9|183.4|177.7|154.3|135.7|227.9|180.7|224.7|330.9|285.0|206.4|392.1|
|C2660. (Işınlama, Elektro Medikal Ve Elektro Terapi İle İlgili Cihazların İmalatı)|2025|192.9|183.4|177.7|154.3|135.7|227.9|180.7|224.7|330.9|285.0|206.4|392.1|
|C267. (Optik Aletlerin Ve Fotografik Ekipmanların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2670. (Optik Aletlerin Ve Fotografik Ekipmanların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C268. (Manyetik Ve Optik Kaset, Bant, Cd, Vb. Ortamların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C2680. (Manyetik Ve Optik Kaset, Bant, Cd, Vb. Ortamların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C27. (Elektrikli Teçhizat İmalatı)|2025|104.9|110.8|113.9|113.1|122.3|102.3|119.9|107.2|126.0|124.5|126.5|140.7|
|C271. (Elektrik Motoru, Jeneratör, Transformatör İle Elektrik Dağıtım Ve Kontrol Cihazlarının İmalatı)|2025|107.8|124.2|127.2|133.5|143.2|124.9|148.7|130.8|152.1|154.7|170.6|217.0|
|C2711. (Elektrik Motorlarının, Jeneratörlerin Ve Transformatörlerin İmalatı)|2025|84.7|92.7|102.8|113.2|116.9|101.3|122.3|102.5|125.0|134.0|136.6|162.1|
|C2712. (Elektrik Dağıtım Ve Kontrol Cihazları İmalatı)|2025|134.1|162.1|154.0|153.6|171.7|150.6|176.7|163.2|180.9|173.6|208.4|282.9|
|C272. (Akümülatör Ve Pil İmalatı)|2025|151.3|123.6|119.5|137.8|140.5|131.0|139.8|116.3|155.8|160.6|185.3|208.4|
|C2720. (Akümülatör Ve Pil İmalatı)|2025|151.3|123.6|119.5|137.8|140.5|131.0|139.8|116.3|155.8|160.6|185.3|208.4|
|C273. (Kablolamada Kullanılan Teller Ve Kablolar İle Gereçlerin İmalatı)|2025|115.7|112.2|116.9|121.3|132.1|120.0|126.8|131.7|144.4|142.3|134.1|143.1|
|C2731. (Fiber Optik Kabloların İmalatı)|2025|99.2|70.3|92.2|81.3|97.4|75.8|97.1|120.0|146.3|107.3|84.6|101.9|
|C2732. (Diğer Elektronik Ve Elektrik Telleri Ve Kablolarının İmalatı)|2025|115.8|104.4|110.9|119.5|134.2|114.5|120.3|122.6|139.5|140.9|132.6|136.9|
|C2733. (Kablolamada Kullanılan Gereçlerin İmalatı)|2025|116.2|130.9|130.7|127.4|129.8|134.1|141.9|150.9|154.3|147.3|140.1|158.4|
|C274. (Elektrikli Aydınlatma Ekipmanlarının İmalatı)|2025|105.7|106.6|120.0|117.0|133.4|115.9|133.5|119.4|137.7|128.4|128.4|176.5|
|C2740. (Elektrikli Aydınlatma Ekipmanlarının İmalatı)|2025|105.7|106.6|120.0|117.0|133.4|115.9|133.5|119.4|137.7|128.4|128.4|176.5|
|C275. (Ev Aletleri İmalatı)|2025|93.6|99.9|101.4|91.8|97.8|74.8|91.1|77.0|95.4|92.6|90.2|77.1|
|C2751. (Elektrikli Ev Aletlerinin İmalatı)|2025|95.1|102.2|104.2|94.1|99.8|76.0|92.4|78.4|97.5|94.1|92.0|77.7|
|C2752. (Elektriksiz Ev Aletlerinin İmalatı)|2025|80.4|79.0|76.7|71.4|79.6|64.6|79.9|65.2|76.8|79.0|74.6|73.0|
|C279. (Diğer Elektrikli Ekipmanların İmalatı)|2025|109.3|108.0|111.1|130.8|163.1|106.8|163.4|117.0|137.3|132.0|123.7|200.9|
|C2790. (Diğer Elektrikli Ekipmanların İmalatı)|2025|109.3|108.0|111.1|130.8|163.1|106.8|163.4|117.0|137.3|132.0|123.7|200.9|
|C28. (Başka Yerde Sınıflandırılmamış Makine Ve Ekipman İmalatı)|2025|99.0|98.9|107.7|103.2|113.0|93.8|106.7|99.1|105.7|105.3|103.7|132.7|
|C281. (Genel Amaçlı Makinelerin İmalatı)|2025|97.2|98.8|102.2|98.5|107.2|84.0|93.1|95.2|102.9|99.3|97.6|111.7|
|C2811. (Motor Ve Türbin İmalatı (Hava Taşıtı, Motorlu Taşıt Ve Motosiklet Motorları Hariç))|2025|96.1|95.6|100.6|91.7|96.7|72.2|73.1|77.9|95.4|88.5|89.2|88.7|
|C2812. (Akışkan Gücü İle Çalışan Ekipmanların İmalatı)|2025|80.9|92.0|91.1|86.9|95.6|82.6|92.9|94.3|102.8|104.9|95.8|119.4|
|C2813. (Diğer Pompaların Ve Kompresörlerin İmalatı)|2025|96.4|105.7|107.2|105.8|124.1|97.7|124.6|124.0|119.1|114.6|112.3|165.7|
|C2814. (Diğer Musluk Ve Valf/Vana İmalatı)|2025|83.6|83.9|91.3|88.4|98.9|82.9|93.2|93.6|96.9|92.1|85.1|100.1|
|C2815. (Rulman, Dişli/Dişli Takımı, Şanzıman Ve Tahrik Elemanlarının İmalatı)|2025|125.8|116.3|116.0|128.0|133.1|104.6|114.6|113.1|106.6|113.5|116.3|114.1|
|C282. (Genel Amaçlı Diğer Makinelerin İmalatı)|2025|109.9|107.7|118.2|112.4|130.3|101.7|117.7|111.5|116.2|118.5|120.0|155.0|
