|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|C1020. (Balık, Kabuklu Deniz Hayvanları Ve Yumuşakçaların İşlenmesi Ve Saklanması)|2025|111.6|132.8|129.4|115.4|139.7|130.8|151.1|129.9|140.1|151.7|135.5|145.7|
|C103. (Sebze Ve Meyvelerin İşlenmesi Ve Saklanması)|2025|94.1|86.8|102.1|84.5|88.9|78.4|89.8|98.0|108.8|97.7|88.4|94.3|
|C1031. (Patatesin İşlenmesi Ve Saklanması)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1032. (Sebze Ve Meyve Suyu İmalatı)|2025|135.4|121.9|131.3|128.8|106.3|113.5|145.3|150.3|158.6|162.3|154.3|131.5|
|C1039. (Başka Yerde Sınıflandırılmamış Meyve Ve Sebzelerin İşlenmesi Ve Saklanması)|2025|84.5|78.6|95.1|74.9|83.5|70.1|77.6|86.3|98.0|84.2|74.5|84.0|
|C104. (Bitkisel Ve Hayvansal Sıvı Ve Katı Yağların İmalatı)|2025|147.5|137.5|134.6|116.1|120.4|97.5|130.5|112.3|125.8|132.3|132.9|146.2|
|C1041. (Sıvı Ve Katı Yağ İmalatı)|2025|149.7|139.7|137.5|116.8|122.3|99.2|132.8|114.4|127.3|133.6|135.1|147.8|
|C1042. (Margarin Ve Benzeri Yenilebilir Katı Yağların İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C105. (Süt Ürünleri İmalatı)|2025|98.3|104.2|114.0|124.4|130.4|113.1|125.5|120.2|97.9|82.5|75.6|85.8|
|C1051. (Süthane İşletmeciliği Ve Peynir İmalatı)|2025|104.9|96.4|105.5|111.5|113.6|103.0|112.5|110.4|114.4|112.5|103.5|115.2|
|C1052. (Dondurma İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C106. (Öğütülmüş Tahıl Ürünleri, Nişasta Ve Nişastalı Ürünlerin İmalatı)|2025|100.0|91.1|91.4|89.4|94.3|79.4|94.1|89.5|96.9|105.4|99.2|106.8|
|C1061. (Öğütülmüş Hububat Ve Sebze Ürünleri İmalatı)|2025|102.7|94.0|91.4|91.6|96.9|78.8|95.4|90.1|102.8|112.4|103.4|111.0|
|C1062. (Nişasta Ve Nişastalı Ürünlerin İmalatı)|2025|93.2|84.1|89.9|83.7|87.9|79.1|90.0|86.8|84.3|90.3|89.6|97.0|
|C107. (Fırın Ve Unlu Mamuller İmalatı)|2025|122.3|113.2|121.3|112.8|121.3|101.9|111.5|118.1|122.6|127.4|125.4|134.8|
|C1071. (Ekmek, Taze Pastane Ürünleri Ve Taze Kek İmalatı)|2025|126.7|117.0|130.6|120.9|129.6|118.4|119.4|127.9|134.5|136.7|133.2|148.9|
|C1072. (Peksimet Ve Bisküvi İmalatı; Dayanıklı Pastane Ürünleri Ve Dayanıklı Kek İmalatı)|2025|124.4|114.6|115.3|109.6|118.9|88.7|104.5|110.4|113.0|124.3|122.9|124.2|
|C1073. (Makarna, Şehriye, Kuskus Ve Benzeri Unlu Mamullerin İmalatı)|2025|99.4|95.3|108.2|94.0|99.0|85.9|107.5|109.3|112.3|104.0|105.6|119.1|
|C108. (Diğer Gıda Maddelerinin İmalatı)|2025|96.1|77.6|71.9|65.2|82.4|83.3|79.5|91.2|100.4|150.8|146.4|131.2|
|C1081. (Şeker İmalatı)|2025|98.7|34.4|11.0|3.4|2.3|1.7|1.5|1.4|19.7|277.0|317.3|252.7|
|C1082. (Kakao, Çikolata Ve Şekerleme İmalatı)|2025|104.5|103.0|108.1|95.6|106.9|67.0|80.0|84.5|92.4|101.0|105.3|110.9|
|C1083. (Kahve Ve Çayın İşlenmesi)|2025|66.6|55.3|46.6|47.4|92.7|161.0|120.0|156.9|161.3|117.2|65.2|54.2|
|C1084. (Baharat, Sos, Sirke Ve Diğer Çeşni Maddelerinin İmalatı)|2025|97.7|92.3|91.1|90.5|94.8|81.6|94.2|99.2|109.8|105.1|91.9|100.6|
|C1085. (Hazır Yemeklerin İmalatı)|2025|129.9|123.7|126.4|123.7|137.4|114.1|146.2|138.5|142.3|143.4|129.7|141.8|
|C1086. (Homojenize Gıda Müstahzarları Ve Diyetetik Gıda İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1089. (Başka Yerde Sınıflandırılmamış Diğer Gıda Maddelerinin İmalatı)|2025|111.1|107.7|110.9|99.4|109.5|92.0|101.2|110.9|112.2|118.5|113.9|112.2|
|C109. (Hazır Hayvan Yemleri İmalatı)|2025|137.9|129.5|140.1|140.3|131.4|111.7|114.7|115.6|133.9|132.8|133.8|154.4|
|C1091. (Çiftlik Hayvanları İçin Hazır Yem İmalatı)|2025|137.4|129.1|138.9|141.8|131.3|110.3|113.2|115.1|133.5|130.7|133.2|153.2|
|C1092. (Ev Hayvanları İçin Hazır Gıda İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C11. (İçeceklerin İmalatı)|2025|84.2|79.7|96.7|115.2|125.4|121.6|138.7|128.6|107.3|94.8|92.2|101.3|
|C110. (İçeceklerin İmalatı)|2025|84.2|79.7|96.7|115.2|125.4|121.6|138.7|128.6|107.3|94.8|92.2|101.3|
|C1101. (Alkollü İçeceklerin Damıtılması, Arıtılması Ve Harmanlanması)|2025|58.0|60.3|48.3|84.2|90.0|92.0|105.9|83.2|79.3|81.6|95.2|122.8|
|C1102. (Üzümden Şarap İmalatı)|2025|58.3|68.7|67.9|81.5|87.4|93.7|99.5|74.5|59.7|94.1|101.5|122.4|
|C1105. (Bira İmalatı)|2025|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|-9.98E8|
|C1107. (Alkolsüz İçeceklerin İmalatı; Maden Sularının Ve Diğer Şişelenmiş Suların Üretimi)|2025|91.6|89.3|103.5|117.1|124.4|119.5|141.7|139.4|109.8|87.9|81.8|86.8|
|C12. (Tütün Ürünleri İmalatı)|2025|110.6|112.6|106.9|117.2|149.5|129.0|151.2|146.3|141.9|153.0|140.8|128.8|
|C120. (Tütün Ürünleri İmalatı)|2025|110.6|112.6|106.9|117.2|149.5|129.0|151.2|146.3|141.9|153.0|140.8|128.8|
|C1200. (Tütün Ürünleri İmalatı)|2025|110.6|112.6|106.9|117.2|149.5|129.0|151.2|146.3|141.9|153.0|140.8|128.8|
|C13. (Tekstil Ürünlerinin İmalatı)|2025|80.4|76.4|79.6|76.4|85.0|68.9|77.9|73.0|80.9|81.9|78.7|86.0|
|C131. (Tekstil Elyafının Hazırlanması Ve Bükülmesi)|2025|78.7|71.7|73.4|71.2|81.2|64.4|72.8|71.2|75.5|79.4|75.4|84.3|
|C1310. (Tekstil Elyafının Hazırlanması Ve Bükülmesi)|2025|78.7|71.7|73.4|71.2|81.2|64.4|72.8|71.2|75.5|79.4|75.4|84.3|
|C132. (Dokuma)|2025|91.0|85.6|91.7|86.8|91.8|75.7|84.7|76.5|83.2|85.2|85.2|93.0|
