|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2026|124.22||||||||||||
|01164. (Üzümsü Meyveler, Taze)|2025|62.65|67.73|76.53|114.76|114.15|112.18|105.8|110.35|115.24|117.18|104.25|99.19|
||2026|103.7||||||||||||
|01165. (Diğer Meyveler, Taze)|2025|85.57|92.99|103.39|122.79|133.18|125.15|86.94|85.66|88.19|94.79|92.44|88.91|
||2026|93.25||||||||||||
|01167. (Kurutulmuş Ve Dehidre Meyveler)|2025|75.27|75.48|75.53|80.68|92.21|107.08|111.76|114.76|115.7|116.97|117.06|117.5|
||2026|122.84||||||||||||
|01168. (Sert Kabuklu Meyveler, Kabuklu Veya Kabuksuz)|2025|84.86|85.79|87.89|90.28|94.47|96.26|97.68|99.88|107.45|114.04|119.07|122.34|
||2026|125.23||||||||||||
|0117. (Sebzeler, Yumrulu Sebzeler, Plantainler, Yemeklik Muzlar Ve Bakliyat)|2025|106.64|101.92|117.47|104.31|91.68|88.68|89.27|89.13|97.09|106.76|101.15|105.91|
||2026|130.99||||||||||||
|01171. (Yeşil Yapraklı Veya Saplı Sebzeler, Taze Veya Soğutulmuş)|2025|119.79|98.59|97.93|98.96|82.05|79.92|80.77|90.09|112.15|147.85|103.84|88.05|
||2026|98.44||||||||||||
|01172. (Meyvesi Yenen Sebzeler, Taze Veya Soğutulmuş (Domates, Biber, Salatalık, Kabak Vb.))|2025|124.53|113.89|142.04|99.68|82.48|80.2|81.91|78.82|90.23|104.83|95.22|106.17|
||2026|160.94||||||||||||
|01173. (Yeşil Baklagil Sebzeleri, Taze Veya Soğutulmuş)|2025|78.74|72.4|86.99|152.66|95.51|83.8|87.81|102.2|111.55|106.73|107.14|114.48|
||2026|152.36||||||||||||
|01174. (Diğer Sebzeler, Taze Veya Soğutulmuş (Soğan, Sarımsak, Havuç, Mantar, Zeytin Vb.))|2025|100.52|100.86|108.43|108.32|97.26|94.69|94.77|95.19|96.68|100.91|101.0|101.36|
||2026|104.99||||||||||||
|01175. (Yumrulu Sebzeler)|2025|77.98|79.44|112.88|130.46|132.99|113.69|95.59|85.65|89.42|87.76|93.82|100.31|
||2026|105.83||||||||||||
|01176. (Kuru Baklagiller)|2025|90.25|92.24|91.05|93.63|96.48|97.33|98.57|101.98|102.31|108.72|112.58|114.86|
||2026|115.07||||||||||||
|01179. (Konserve Edilmiş Veya İşlenmiş Sebze İçerikli Ürünler (Salça, Turşu, Zeytin Vb.))|2025|85.41|92.05|90.9|91.07|92.48|94.18|99.08|100.46|109.35|113.38|114.7|116.93|
||2026|119.08||||||||||||
|0118. (Şeker, Şekerlemeler Ve Tatlılar)|2025|86.09|90.89|91.98|94.97|96.18|98.77|100.56|103.93|107.43|108.7|108.96|111.52|
||2026|115.27||||||||||||
