|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|054. (Züccaciye, Yemek Takımı Ve Ev Gereçleri)|2025|92.69|94.19|95.65|98.15|98.32|99.87|102.08|102.65|103.4|104.6|103.93|104.49|
||2026|105.87||||||||||||
|0540. (Züccaciye, Yemek Takımı Ve Ev Gereçleri)|2025|92.69|94.19|95.65|98.15|98.32|99.87|102.08|102.65|103.4|104.6|103.93|104.49|
||2026|105.87||||||||||||
|05401. (Cam, Kristal, Seramik, Porselen Ve Çin Porseleni Eşyalar)|2025|91.94|93.12|94.2|97.49|97.36|99.69|102.94|103.47|104.22|105.76|105.14|104.66|
||2026|105.48||||||||||||
|05402. (Çatal Bıçak Takımları Ve Gümüş Çatal Bıçak Takımları)|2025|93.68|96.59|99.05|100.89|100.88|100.1|100.68|101.33|101.8|102.31|100.35|102.32|
||2026|103.47||||||||||||
|05403. (Mutfak Gereçleri Ve Eşyaları)|2025|93.36|94.97|96.71|98.41|98.96|100.02|101.35|101.95|102.76|103.68|103.18|104.67|
||2026|106.55||||||||||||
|055. (Ev Ve Bahçe Alet Ve Ekipmanları)|2025|89.92|91.43|95.43|97.13|98.82|102.94|102.17|100.81|104.03|102.63|106.23|108.45|
||2026|108.95||||||||||||
|0552. (Motorlu Olmayan Ev Ve Bahçe Aletleri Ve Çeşitli Aksesuarlar)|2025|89.92|91.43|95.43|97.13|98.82|102.94|102.17|100.81|104.03|102.63|106.23|108.45|
||2026|108.95||||||||||||
|05522. (Çeşitli Hırdavat Malzemeleri Ve Aksesuarlar (Pil, Ampul Vb.))|2025|89.92|91.43|95.43|97.13|98.82|102.94|102.17|100.81|104.03|102.63|106.23|108.45|
||2026|108.95||||||||||||
|056. (Rutin Ev Bakımı İçin Mal Ve Hizmetler)|2025|88.69|91.07|92.44|95.69|96.55|99.58|102.03|103.4|104.86|106.76|108.36|110.58|
||2026|114.83||||||||||||
|0561. (Dayanıklı Olmayan Ev Eşyaları)|2025|90.56|91.9|93.1|97.02|97.41|100.21|101.68|103.19|103.86|105.19|106.61|109.28|
||2026|111.83||||||||||||
|05611. (Ev Temizlik Ve Bakım Ürünleri)|2025|90.04|91.17|92.43|96.56|96.36|99.96|101.56|103.07|104.59|105.94|107.65|110.67|
||2026|113.33||||||||||||
|05619. (Diğer Dayanıklı Olmayan Ev Eşyaları)|2025|93.3|95.7|96.6|99.39|102.89|101.55|102.32|103.81|100.03|101.26|101.18|101.94|
||2026|104.09||||||||||||
|0562. (Ev İçi Hizmetler Ve Hanehalkı Hizmetleri)|2025|84.38|89.15|90.92|92.61|94.57|98.1|102.84|103.9|107.18|110.37|112.39|113.58|
||2026|123.84||||||||||||
|05629. (Diğer Hanehalkı Hizmetleri)|2025|84.38|89.15|90.92|92.61|94.57|98.1|102.84|103.9|107.18|110.37|112.39|113.58|
||2026|123.84||||||||||||
|06. (Sağlık)|2025|99.65|95.28|95.95|96.94|97.39|98.02|100.81|101.82|102.31|102.8|103.49|105.53|
||2026|121.2||||||||||||
|061. (İlaçlar Ve Sağlık Ürünleri)|2025|95.16|95.32|96.57|97.82|98.44|99.11|100.24|101.0|101.21|101.87|103.22|110.05|
||2026|119.97||||||||||||
|0611. (İlaçlar)|2025|99.35|99.38|99.26|99.08|99.09|99.1|99.11|99.12|99.13|99.13|99.14|109.11|
||2026|121.15||||||||||||
|06111. (İlaçlar, Aşılar Ve Diğer Eczacılık Ürünleri)|2025|99.35|99.38|99.26|99.08|99.09|99.1|99.11|99.12|99.13|99.13|99.14|109.11|
||2026|121.15||||||||||||
|0612. (Medikal (Tıbbi) Ürünler)|2025|90.38|91.93|92.83|95.53|97.02|98.49|101.82|103.59|104.79|105.92|107.81|109.88|
|06121. (Medikal (Tıbbi) Tanı Ürünleri)|2025|90.38|91.93|92.83|95.53|97.02|98.49|101.82|103.59|104.79|105.92|107.81|109.88|
|0613. (Yardımcı Ürünler)|2025|90.1|90.03|93.54|96.56|97.87|99.34|101.5|103.11|103.33|104.88|108.15|111.58|
||2026|116.74||||||||||||
|06131. (Görmeye Yardımcı Ürünler)|2025|90.83|90.55|94.48|96.19|97.06|98.39|100.95|103.3|104.21|105.45|107.71|110.88|
||2026|118.95||||||||||||
|06133. (Hareket Ve Günlük Yaşam İçin Yardımcı Ürünler)|2025|87.97|88.53|90.81|97.65|100.23|102.09|103.1|102.58|100.8|103.22|109.42|113.6|
||2026|111.65||||||||||||
|062. (Ayaktan Tedavi Hizmetleri)|2025|109.61|96.48|96.92|97.49|97.77|98.2|99.54|100.12|100.45|100.95|101.14|101.32|
||2026|121.89||||||||||||
|0622. (Ayaktan Ağız Ve Diş Tedavi Hizmetleri)|2025|94.59|96.9|97.66|98.59|98.96|99.7|100.88|101.69|102.07|102.79|102.96|103.21|
||2026|115.9||||||||||||
|06229. (Diğer Ayaktan Ağız Ve Diş Tedavi Hizmetleri)|2025|94.59|96.9|97.66|98.59|98.96|99.7|100.88|101.69|102.07|102.79|102.96|103.21|
||2026|115.9||||||||||||
|0623. (Diğer Ayaktan Tedavi Hizmetleri)|2025|125.19|96.04|96.15|96.36|96.53|96.66|98.14|98.5|98.78|99.04|99.25|99.36|
||2026|131.44||||||||||||
|06231. (Ayaktan Tedavi Edici Ve Rehabilite Edici Hizmetler)|2025|125.19|96.04|96.15|96.36|96.53|96.66|98.14|98.5|98.78|99.04|99.25|99.36|
||2026|131.44||||||||||||
|063. (Yatarak Tedavi Hizmetleri)|2025|91.67|93.7|94.28|95.86|96.35|96.92|103.15|104.48|105.63|105.5|106.0|106.48|
||2026|123.0||||||||||||
|0631. (Yatarak Tedavi Edici Ve Rehabilite Edici Hizmetler)|2025|91.67|93.7|94.28|95.86|96.35|96.92|103.15|104.48|105.63|105.5|106.0|106.48|
||2026|123.0||||||||||||
|06310. (Yatarak Tedavi Edici Ve Rehabilite Edici Hizmetler)|2025|91.67|93.7|94.28|95.86|96.35|96.92|103.15|104.48|105.63|105.5|106.0|106.48|
||2026|123.0||||||||||||
|064. (Diğer Sağlık Hizmetleri)|2025|91.04|94.1|94.49|95.21|95.8|97.1|102.03|104.37|104.85|105.95|107.18|107.88|
||2026|123.07||||||||||||
|0641. (Tanısal Görüntüleme Hizmetleri Ve Medikal (Tıbbi) Laboratuvar Hizmetleri)|2025|91.04|94.1|94.49|95.21|95.8|97.1|102.03|104.37|104.85|105.95|107.18|107.88|
||2026|123.07||||||||||||
|06410. (Tanısal Görüntüleme Hizmetleri Ve Medikal (Tıbbi) Laboratuvar Hizmetleri)|2025|91.04|94.1|94.49|95.21|95.8|97.1|102.03|104.37|104.85|105.95|107.18|107.88|
||2026|123.07||||||||||||
|07. (Ulaştırma)|2025|88.32|90.97|91.19|94.6|97.08|99.36|102.18|103.75|106.62|107.75|109.65|108.53|
||2026|114.27||||||||||||
|071. (Araç Satın Alımı)|2025|88.46|89.9|91.21|95.37|99.71|100.64|102.56|103.48|105.83|106.79|108.0|108.05|
||2026|110.64||||||||||||
|0711. (Motorlu Taşıtlar)|2025|88.14|89.52|90.79|95.04|99.67|100.74|102.76|103.62|106.12|107.06|108.27|108.28|
||2026|110.95||||||||||||
|07111. (Birinci El Motorlu Taşıtlar)|2025|88.14|89.52|90.79|95.04|99.67|100.74|102.76|103.62|106.12|107.06|108.27|108.28|
||2026|110.95||||||||||||
|0712. (Motosikletler)|2025|94.03|96.31|98.22|100.83|100.46|99.04|99.12|100.98|100.97|102.29|103.49|104.26|
||2026|105.64||||||||||||
|07120. (Motosikletler)|2025|94.03|96.31|98.22|100.83|100.46|99.04|99.12|100.98|100.97|102.29|103.49|104.26|
||2026|105.64||||||||||||
|0713. (Bisikletler)|2025|88.35|92.24|94.8|97.25|99.19|99.99|102.13|103.68|104.31|104.99|105.79|107.26|
||2026|113.24||||||||||||
|07130. (Bisikletler)|2025|88.35|92.24|94.8|97.25|99.19|99.99|102.13|103.68|104.31|104.99|105.79|107.26|
||2026|113.24||||||||||||
|072. (Kişisel Ulaşım Araçlarının Kullanımı)|2025|91.28|93.49|92.51|93.83|94.68|97.87|102.93|104.26|105.63|106.44|109.32|107.76|
||2026|113.27||||||||||||
|0721. (Kişisel Ulaşım Araçlarının Parça Ve Aksesuarları)|2025|92.65|93.8|94.22|96.06|97.69|98.98|100.73|102.42|103.52|105.21|106.72|107.99|
||2026|111.38||||||||||||
|07211. (Lastikler)|2025|93.18|94.41|94.72|96.11|97.74|98.87|100.65|102.06|103.34|104.85|106.34|107.73|
||2026|110.5||||||||||||
|07212. (Kişisel Ulaşım Araçlarının Parçaları)|2025|89.9|90.53|91.59|95.72|97.65|99.37|101.05|103.98|104.54|107.24|108.89|109.53|
||2026|113.51||||||||||||
|07213. (Kişisel Ulaşım Araçlarının Aksesuarları)|2025|90.26|91.18|92.07|95.94|96.75|100.23|101.43|105.42|104.12|106.38|107.77|108.46|
||2026|112.71||||||||||||
|0722. (Kişisel Ulaşım Araçları İçin Yakıtlar Ve Yağlar)|2025|92.92|95.03|93.17|92.83|92.87|96.7|103.19|103.41|105.84|106.06|110.37|107.6|
||2026|109.33||||||||||||
|07221. (Motorin (Mazot))|2025|91.91|93.16|91.29|90.2|90.6|96.92|105.52|104.51|107.51|106.93|113.78|107.67|
||2026|109.91||||||||||||
|07222. (Benzin)|2025|91.84|94.05|91.14|91.97|93.56|98.01|103.27|104.36|107.35|106.47|109.82|108.15|
||2026|108.95||||||||||||
|07223. (Kişisel Ulaşım Araçları İçin Diğer Yakıtlar)|2025|98.29|102.44|102.98|101.81|97.1|92.9|96.83|98.17|97.9|102.79|102.7|106.1|
||2026|108.49||||||||||||
|07224. (Yağlar)|2025|90.15|92.52|93.13|95.57|98.42|99.83|101.4|104.01|104.09|105.72|107.05|108.09|
||2026|112.41||||||||||||
|0723. (Kişisel Ulaşım Araçlarının Bakım Ve Onarımı)|2025|85.68|88.0|88.39|94.12|96.86|99.58|103.13|107.31|106.85|109.53|110.18|110.38|
||2026|126.47||||||||||||
|07230. (Kişisel Ulaşım Araçlarının Bakım Ve Onarımı)|2025|85.68|88.0|88.39|94.12|96.86|99.58|103.13|107.31|106.85|109.53|110.18|110.38|
||2026|126.47||||||||||||
|0724. (Kişisel Ulaşım Araçları İle İlgili Diğer Hizmetler)|2025|93.38|96.92|97.42|98.49|99.39|100.82|102.33|103.86|102.51|101.86|101.54|101.48|
||2026|115.76||||||||||||
|07241. (Otopark Hizmetleri)|2025|91.27|94.44|94.91|96.12|98.25|99.31|100.53|102.98|104.44|105.6|105.97|106.18|
|07242. (Geçiş Ücretleri)|2025|99.79|99.56|99.65|99.9|100.02|100.2|100.24|100.15|100.19|100.15|100.08|100.06|
||2026|125.33||||||||||||
|07243. (Sürücü Kursları, Araç Muayene, Emisyon Ölçüm Ücreti Vb. Hizmetler)|2025|95.51|99.91|100.13|100.26|100.33|100.4|100.45|100.43|100.44|100.43|100.85|100.85|
||2026|116.99||||||||||||
|07244. (Kişisel Ulaşım Araçlarının Sürücüsüz Olarak Kiralanması)|2025|83.81|84.32|86.14|91.45|95.65|103.47|111.87|120.1|111.25|106.82|102.77|102.34|
||2026|106.11||||||||||||
|073. (Yolcu Taşıma Hizmetleri)|2025|83.04|89.22|88.9|94.16|95.0|98.86|99.97|103.4|110.12|112.19|114.16|110.97|
||2026|119.91||||||||||||
|0731. (Demir Yolu İle Yolcu Taşımacılığı)|2025|97.62|98.72|99.19|99.7|99.92|99.91|100.12|100.23|100.71|101.12|101.35|101.41|
||2026|109.78||||||||||||
|07311. (Tren İle Yolcu Taşımacılığı)|2025|99.31|99.62|99.95|100.02|100.1|100.1|100.1|100.1|100.13|100.12|100.25|100.2|
||2026|109.33||||||||||||
|07312. (Metro Ve Tramvay İle Yolcu Taşımacılığı)|2025|78.94|88.71|90.82|96.11|97.85|97.85|100.35|101.7|107.18|112.15|113.53|114.83|
||2026|118.5||||||||||||
|0732. (Kara Yolu İle Yolcu Taşımacılığı)|2025|81.78|89.47|90.4|93.86|94.71|98.74|99.72|100.39|110.06|113.07|113.99|113.81|
||2026|117.32||||||||||||
|07321. (Otobüs İle Yolcu Taşımacılığı)|2025|82.09|89.0|89.88|94.9|95.8|101.77|103.22|104.1|107.52|109.76|111.22|110.75|
||2026|115.06||||||||||||
|07322. (Taksi Ve Sürücüsü İle Birlikte Kiralanmış Taşıtlarla Yolcu Taşımacılığı)|2025|80.98|88.74|89.64|92.7|95.09|98.15|98.98|99.96|106.76|116.04|116.19|116.75|
||2026|119.1||||||||||||
|07323. (Okul Servisleri)|2025|81.45|90.91|91.94|92.0|92.03|92.03|91.99|92.04|117.52|119.3|119.32|119.48|
||2026|119.76||||||||||||
|0733. (Hava Yolu İle Yolcu Taşımacılığı)|2025|91.8|83.09|68.03|96.67|97.79|101.33|101.17|138.02|114.16|105.86|120.97|81.12|
||2026|111.04||||||||||||
|07331. (Hava Yolu İle Yurt İçi Yolcu Taşımacılığı)|2025|79.17|86.16|61.98|92.18|92.14|110.1|116.83|125.88|113.14|114.12|123.86|84.45|
||2026|107.24||||||||||||
|07332. (Hava Yolu İle Yurt Dışı Yolcu Taşımacılığı)|2025|104.1|80.11|73.91|101.03|103.29|92.79|85.93|149.84|115.14|97.83|118.16|77.87|
||2026|122.32||||||||||||
|0734. (Deniz Ve İç Sularda Yolcu Taşımacılığı)|2025|86.29|88.63|88.63|88.85|88.8|91.22|109.2|110.52|109.74|112.23|112.92|112.97|
||2026|125.35||||||||||||
|07340. (Deniz Ve İç Sularda Yolcu Taşımacılığı)|2025|86.29|88.63|88.63|88.85|88.8|91.22|109.2|110.52|109.74|112.23|112.92|112.97|
||2026|125.35||||||||||||
|074. (Posta Ve Mal Taşımacılığı Hizmetleri)|2025|86.7|90.37|91.54|93.63|96.51|99.28|103.9|106.02|107.78|107.89|107.99|108.39|
||2026|111.13||||||||||||
|0741. (Posta Ve Kurye Hizmetleri)|2025|98.96|99.15|99.2|99.29|100.28|100.35|100.43|100.46|100.47|100.47|100.47|100.47|
||2026|114.83||||||||||||
|07412. (Kurye Ve Paket/Koli Dağıtım Hizmetleri)|2025|98.96|99.15|99.2|99.29|100.28|100.35|100.43|100.46|100.47|100.47|100.47|100.47|
||2026|114.83||||||||||||
|0749. (Diğer Mal Taşımacılığı)|2025|83.76|88.26|89.71|92.28|95.61|99.02|104.74|107.35|109.53|109.66|109.79|110.28|
||2026|111.85||||||||||||
|07491. (Nakliye Ve Depolama Hizmetleri)|2025|83.76|88.26|89.71|92.28|95.61|99.02|104.74|107.35|109.53|109.66|109.79|110.28|
||2026|111.88||||||||||||
|07492. (Malların Dağıtım Ücretleri (Kurye, Paket Servis Vb.))|2025||||||||||||100.0|
||2026|100.0||||||||||||
|08. (Bilgi Ve İletişim)|2025|93.79|95.48|95.61|96.42|95.93|97.73|101.01|102.24|103.75|104.27|105.49|108.26|
||2026|112.63||||||||||||
|081. (Bilgi Ve İletişim Ekipmanları)|2025|98.37|97.8|97.22|98.73|97.53|99.6|100.35|100.46|102.43|101.68|102.03|103.8|
||2026|106.43||||||||||||
|0812. (Mobil Telefon Ekipmanları)|2025|98.1|97.42|97.15|98.95|96.8|99.54|100.51|101.46|103.99|102.99|100.89|102.19|
||2026|105.17||||||||||||
|08120. (Mobil Telefon Ve Ekipmanları)|2025|98.1|97.42|97.15|98.95|96.8|99.54|100.51|101.46|103.99|102.99|100.89|102.19|
||2026|105.17||||||||||||
|0813. (Bilgi İşleme Ekipmanları)|2025|99.61|98.1|99.56|99.24|96.16|93.14|95.61|98.9|105.85|106.77|105.24|101.8|
||2026|105.24||||||||||||
|08131. (Bilgisayarlar, Diz Üstü Bilsayarlar Ve Tablet Bilgisayarlar)|2025|101.21|98.47|99.95|98.87|95.07|92.62|95.34|98.57|106.3|107.08|105.69|100.83|
||2026|104.23||||||||||||
|08132. (Bilgisayar Çevre Birimleri Ve Sarf Malzemeleri)|2025|92.48|96.43|97.85|100.9|101.06|95.48|96.79|100.4|103.86|105.37|103.25|106.14|
||2026|109.78||||||||||||
|0814. (Ses Ve Görüntü Alma, Kaydetme Ve Çoğaltma Ekipmanları)|2025|97.68|98.2|96.45|98.04|98.88|101.38|100.9|99.2|99.28|100.18|103.91|105.89|
||2026|107.93||||||||||||
|08140. (Ses Ve Görüntü Alma, Kaydetme Ve Çoğaltma Ekipmanları)|2025|97.68|98.2|96.45|98.04|98.88|101.38|100.9|99.2|99.28|100.18|103.91|105.89|
||2026|107.93||||||||||||
|0815. (Kaydedilmemiş (Boş) Kayıt Ortamları)|2025|93.91|94.73|96.03|96.64|97.83|99.44|100.26|99.52|100.19|99.81|103.67|117.97|
|08150. (Kaydedilmemiş (Boş) Kayıt Ortamları)|2025|93.91|94.73|96.03|96.64|97.83|99.44|100.26|99.52|100.19|99.81|103.67|117.97|
|0819. (Diğer Bilgi Ve İletişim Ekipmanları Ve Aksesuarları)|2025|101.58|98.73|97.44|99.53|98.96|102.15|103.76|100.99|99.93|92.51|97.71|106.7|
||2026|106.89||||||||||||
|08191. (Diğer Bilgi Ve İletişim Ekipmanları)|2025|105.26|100.65|98.76|99.02|98.44|102.97|105.27|100.56|98.51|86.57|95.07|108.92|
||2026|112.01||||||||||||
|08192. (Diğer Bilgi Ve İletişim Aksesuarları)|2025|94.87|95.22|95.05|100.45|99.91|100.66|101.02|101.78|102.54|103.34|102.51|102.65|
||2026|101.9||||||||||||
|083. (Bilgi Ve İletişim Hizmetleri)|2025|90.9|94.02|94.6|94.96|94.92|96.55|101.42|103.37|104.59|105.91|107.67|111.08|
||2026|117.08||||||||||||
|0831. (Sabit İletişim Hizmetleri)|2025|84.85|86.37|88.35|89.7|91.86|97.09|101.71|106.47|108.92|111.46|114.91|118.32|
|08310. (Sabit İletişim Hizmetleri)|2025|84.85|86.37|88.35|89.7|91.86|97.09|101.71|106.47|108.92|111.46|114.91|118.32|
|0832. (Mobil İletişim Hizmetleri)|2025|93.12|96.9|96.9|96.79|95.68|96.44|102.11|103.19|103.28|103.18|104.18|108.24|
||2026|114.95||||||||||||
|08320. (Mobil İletişim Hizmetleri)|2025|93.12|96.9|96.9|96.79|95.68|96.44|102.11|103.19|103.28|103.18|104.18|108.24|
||2026|114.95||||||||||||
|0833. (İnternet Erişimi Sağlama Hizmetleri Ve Ağ Depolama Hizmetleri)|2025|84.21|86.09|88.31|90.21|93.25|96.71|101.55|105.19|108.46|111.89|115.42|118.7|
||2026|121.64||||||||||||
|08330. (İnternet Erişim Hizmetleri)|2025|84.21|86.09|88.31|90.21|93.25|96.71|101.55|105.19|108.46|111.89|115.42|118.7|
||2026|121.64||||||||||||
|0835. (Bilgi Ve İletişim Ekipmanlarının Onarımı Ve Kiralanması)|2025|85.71|91.2|94.28|95.58|97.62|99.27|102.11|103.63|105.15|106.09|109.13|110.24|
||2026|115.77||||||||||||
|08350. (Bilgi Ve İletişim Ekipmanlarının Onarımı Ve Kiralanması)|2025|85.71|91.2|94.28|95.58|97.62|99.27|102.11|103.63|105.15|106.09|109.13|110.24|
||2026|115.77||||||||||||
|0839. (Diğer Bilgi Ve İletişim Hizmetleri)|2025|91.97|92.12|92.17|92.1|92.13|95.82|95.87|100.4|105.15|112.23|115.01|115.03|
||2026|122.48||||||||||||
|08392. (Görsel-İşitsel İçeriklerin Aboneliği, Kiralanması Ve Çevrim İçi Yayın Hizmetleri)|2025|92.03|92.03|92.03|91.96|91.95|95.72|95.71|100.34|105.2|112.44|115.28|115.29|
||2026|122.76||||||||||||
|08399. (Diğer Bilgi Ve İletişim Hizmetleri)|2025|89.38|95.49|97.41|97.79|99.34|99.72|102.39|102.76|103.17|103.86|104.23|104.44|
|09. (Eğlence, Dinlence, Spor Ve Kültür)|2025|90.15|90.27|93.59|95.3|98.05|99.41|102.31|104.16|104.97|105.44|107.77|108.57|
||2026|114.39||||||||||||
|092. (Diğer Eğlence Malları)|2025|93.54|94.87|96.34|95.57|97.52|100.27|103.62|103.31|102.79|103.2|104.58|104.38|
||2026|104.91||||||||||||
|0921. (Oyunlar, Oyuncaklar Ve Hobiler)|2025|92.6|93.76|95.0|93.96|97.0|100.68|105.54|104.8|103.67|104.46|103.95|104.58|
||2026|107.19||||||||||||
|09211. (Video Oyunu Bilgisayarları, Oyun Konsolları, Oyun Uygulamaları Ve Yazılımları)|2025|94.39|94.17|94.16|94.6|94.05|100.03|107.99|107.18|103.53|103.16|102.86|103.86|
||2026|107.95||||||||||||
|09212. (Diğer Oyunlar, Oyuncaklar Ve Hobiler)|2025|90.69|93.32|95.89|93.28|100.15|101.38|102.93|102.26|103.82|105.84|105.11|105.35|
||2026|107.68||||||||||||
|0922. (Spor, Kamp Ve Açık Hava Eğlence Ekipmanları)|2025|95.46|97.12|99.07|98.83|98.58|99.44|99.72|100.28|101.01|100.66|105.87|103.97|
||2026|101.47||||||||||||
|09221. (Spor Ekipmanları)|2025|95.46|97.12|99.07|98.83|98.58|99.44|99.72|100.28|101.01|100.66|105.87|103.97|
||2026|101.47||||||||||||
|093. (Bahçe Ürünleri Ve Ev Hayvanları)|2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|0932. (Ev Hayvanları Ve Ev Hayvanları İçin Ürünler)|2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|09322. (Ev Hayvanları Ve Diğer Evcil Hayvanlar İçin Ürünler)|2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|094. (Eğlence Ve Dinlence Hizmetleri)|2025|84.48|87.42|90.16|94.25|95.81|98.82|101.42|105.72|108.39|110.28|111.62|111.63|
||2026|123.32||||||||||||
|0945. (Veterinerlik Ve Ev Hayvanları İçin Diğer Hizmetler)|2025|92.36|95.19|96.23|96.79|97.02|97.75|98.22|103.91|104.69|105.24|106.19|106.4|
||2026|124.91||||||||||||
|09450. (Veterinerlik Ve Ev Hayvanları İçin Diğer Hizmetler)|2025|92.36|95.19|96.23|96.79|97.02|97.75|98.22|103.91|104.69|105.24|106.19|106.4|
||2026|124.91||||||||||||
|0946. (Eğlence, Dinlence Ve Spor Hizmetleri)|2025|86.06|89.37|90.56|92.95|94.85|97.27|100.42|105.16|108.36|110.63|112.19|112.19|
||2026|122.76||||||||||||
|09461. (Eğlence Ve Dinlence Hizmetleri)|2025||||||||||||100.0|
||2026|112.73||||||||||||
|09462. (Spor Faaliyetlerine Katılım)|2025|86.8|90.08|91.35|94.18|96.2|98.27|101.03|103.77|106.97|109.16|110.79|111.4|
||2026|120.75||||||||||||
|09463. (Spor Faaliyetlerine Seyir Amaçlı Katılım)|2025|75.55|79.22|79.32|75.5|75.56|83.08|91.76|125.01|128.11|131.53|132.04|123.32|
|0947. (Şans Oyunları)|2025|67.47|67.72|83.18|102.15|102.15|111.05|111.05|111.05|111.05|111.05|111.05|111.05|
||2026|118.23||||||||||||
|09470. (Şans Oyunları)|2025|67.47|67.72|83.18|102.15|102.15|111.05|111.05|111.05|111.05|111.05|111.05|111.05|
||2026|118.23||||||||||||
|095. (Kültürel Mallar)|2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|0951. (Müzik Enstrümanları)|2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|09510. (Müzik Enstrümanları)|2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|096. (Kültürel Hizmetler)|2025|88.05|91.42|92.49|96.03|99.95|101.06|102.93|104.02|105.11|105.6|106.24|107.12|
||2026|111.11||||||||||||
|0961. (Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler)|2025|87.44|90.05|90.83|97.01|98.97|100.75|102.13|102.53|103.21|106.35|109.05|111.67|
||2026|113.37||||||||||||
|09610. (Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler)|2025|87.44|90.05|90.83|97.01|98.97|100.75|102.13|102.53|103.21|106.35|109.05|111.67|
||2026|113.37||||||||||||
|0963. (Fotoğrafçılık Hizmetleri)|2025|86.39|91.59|92.86|94.4|96.98|98.67|101.52|104.29|106.83|107.97|108.75|109.74|
|09630. (Fotoğrafçılık Hizmetleri)|2025|86.39|91.59|92.86|94.4|96.98|98.67|101.52|104.29|106.83|107.97|108.75|109.74|
|0969. (Diğer Kültürel Hizmetler)|2025|88.41|91.68|92.8|96.05|100.57|101.46|103.3|104.29|105.26|105.11|105.29|105.77|
||2026|111.5||||||||||||
|09690. (Diğer Kültürel Hizmetler)|2025|88.41|91.68|92.8|96.05|100.57|101.46|103.3|104.29|105.26|105.11|105.29|105.77|
||2026|111.5||||||||||||
|097. (Gazete, Kitap Ve Kırtasiye Malzemeleri)|2025|91.35|92.02|93.41|94.63|96.28|97.22|101.19|103.92|105.55|107.14|108.32|108.97|
||2026|110.8||||||||||||
|0971. (Kitaplar)|2025|91.69|92.66|93.75|94.71|95.18|95.44|100.82|103.31|106.04|107.56|109.3|109.54|
||2026|111.36||||||||||||
|09711. (Eğitsel Kitaplar Ve Ders Kitapları)|2025|92.76|93.34|94.32|94.95|95.22|95.14|101.39|103.76|105.92|107.29|108.0|107.93|
||2026|109.25||||||||||||
|09719. (Diğer Kitaplar)|2025|88.0|90.31|91.78|93.9|95.07|96.48|98.85|101.73|106.46|108.49|113.83|115.1|
||2026|118.3||||||||||||
|0972. (Gazeteler Ve Süreli Yayınlar)|2025|82.55|83.22|83.27|89.94|92.31|95.75|98.06|114.07|114.15|114.49|116.09|116.09|
|09721. (Gazeteler)|2025|81.02|80.97|80.97|90.53|94.3|94.36|94.18|116.77|116.77|116.8|116.67|116.67|
|09722. (Dergiler Ve Süreli Yayınlar)|2025|85.29|87.25|87.39|88.89|88.76|98.24|105.02|109.25|109.45|110.35|115.06|115.06|
|0974. (Kırtasiye Ve Çizim Malzemeleri)|2025|93.26|93.19|95.71|95.89|100.19|102.03|103.07|102.26|101.69|103.83|103.5|105.37|
||2026|107.17||||||||||||
|09740. (Kırtasiye Ve Çizim Malzemeleri)|2025|93.26|93.19|95.71|95.89|100.19|102.03|103.07|102.26|101.69|103.83|103.5|105.37|
||2026|107.17||||||||||||
|098. (Paket Turlar Ve Tatiller)|2025|91.77|90.56|94.32|97.4|98.12|97.97|100.31|101.91|103.28|106.63|107.99|109.74|
||2026|112.1||||||||||||
|0980. (Paket Turlar Ve Tatiller)|2025|91.77|90.56|94.32|97.4|98.12|97.97|100.31|101.91|103.28|106.63|107.99|109.74|
||2026|112.1||||||||||||
|09800. (Paket Turlar Ve Tatiller)|2025|91.77|90.56|94.32|97.4|98.12|97.97|100.31|101.91|103.28|106.63|107.99|109.74|
||2026|112.1||||||||||||
|10. (Eğitim Hizmetleri)|2025|76.89|84.52|88.48|90.49|91.57|95.67|98.22|100.25|118.19|118.29|118.64|118.79|
||2026|126.64||||||||||||
|101. (Okul Öncesi Ve Temel Eğitim (İlkokul))|2025|73.0|85.16|91.1|93.63|95.16|101.68|105.48|108.01|111.7|111.7|111.7|111.7|
||2026|122.26||||||||||||
|1010. (Okul Öncesi Ve Temel Eğitim (İlkokul))|2025|73.0|85.16|91.1|93.63|95.16|101.68|105.48|108.01|111.7|111.7|111.7|111.7|
||2026|122.26||||||||||||
|10101. (Okul Öncesi Eğitim)|2025||||||||||||100.0|
||2026|104.52||||||||||||
